1,"""We each need to find our own inspiration Kiki, sometimes it's not easy.” -Ursula",,,,,
2,"""Stop trying. Take long walks. Look at the scenery. Doze off at noon. Don’t even think about flying. And then, pretty soon, you’ll be flying again.” -Ursula",,,,,
3,"""Just follow your heart and keep smiling.” -Kokiri",,,,,
4,“It’s not really important what color your dress is. What matters is the heart inside.” -Kokiri,,,,,
5,"""Flying used to be fun until I started doing it for a living.” -Kiki",,,,,
6,"""Maybe I need to find my own inspiration. But am I ever going to find it? Is it worth all the trouble?” -Kiki",,,,,
7,"""I think something’s wrong with me. I make friends, then suddenly I can’t bear to be with any of them. Seems like that other me, the cheerful and honest one, went away somewhere.” -Kiki",,,,,
8,"""I'm going to put my paws together and pray that you're not serious!” -Jiji",,,,,
9,"""You'd think they'd never seen a girl and a cat on a broom before.” -Jiji",,,,,
10,"""All right, first: don’t panic! Second: don’t panic! And third: did I mention not to panic?” -Jiji",,,,,
11,"""Look, Kiki! It's me! [pointing at a cup with the image of a black cat on it]” -Jiji",,,,,
12,"""Smile, so we can make a good impression!” -Kiki",,,,,
13,"""If I lose my magic, that means I’ve lost absolutely everything.” -Kiki",,,,,
14,"""We can fly with our spirit.” -Kiki",,,,,
15,“Naked?” -Jiji,,,,,
