1,"“Look, everyone! This is what hatred looks like! This is what it does when it catches hold of you! It’s eating me alive, and very soon now it will kill me! Fear and anger only make it grow faster!” – Prince Ashitaka",,,,,
2,"“These days, there are angry ghosts all around us. Dead from wars, sickness, starvation, and nobody cares. So – you say you’re under a curse. So what, so’s the whole damn world.” – Jigo",,,,,
3,“To see with eyes unclouded by hate.” – Prince Ashitaka,,,,,
4,"“Ashitaka, you mean so much to me, but I can’t forgive the humans for what they’ve done.” – San",,,,,
5,"“My arm, it doesn’t hurt. IT’S HEALED!!! [stretches his arm and it cracks] Argh, no, it’s still broken.” – Kohroku",,,,,
6,"“Now watch closely, everyone. I’m going to show you how to kill a god. A god of life and death. The trick is not to fear him.” – Lady Eboshi",,,,,
7,“I’m getting a little bored of this curse of yours Ashitaka just let me cut the damn thing off.” – Lady Eboshi,,,,,
8,"“Well, they say that happy women make a happy village.” – Prince Ashitaka",,,,,
9,“Ashitaka… can you save the girl you love?” – Moro,,,,,
10,“So you say you’re under a curse? Well so what. So’s the whole damn world.” – Jigo,,,,,
11,“Are you selling donkey piss?” – Jigo,,,,,
12,"“You cannot alter your fate. However, you can rise to meet it.” – Hii-Sama",,,,,
13,"“Ugh, it’s that damn woman again.” – San",,,,,
14,"“Life is suffering. It is hard. The world is cursed. But still, you find reasons to keep living.” – Lady Eboshi",,,,,
15,“What I want is for the humans and the forest to live in peace!” – Prince Ashitaka,,,,,
